"id","nama","email","id_kelas","token","password"
"1","Sophia Smith","sophia.sm@stis.ac.id","1",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"2","Noah Johnson","noah.john@stis.ac.id","1",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"3","Olivia Williams","olivia.wi@stis.ac.id","2",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"4","Liam Brown","liam.brow@stis.ac.id","2",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"5","Emma Jones","emma.jone@stis.ac.id","3",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"6","Elijah Davis","elijah.da@stis.ac.id","3",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"7","Ava Miller","ava.mille@stis.ac.id","4",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"8","James Wilson","james.wil@stis.ac.id","4",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"9","Isabella Taylor","isabella.@stis.ac.id","5",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"10","William Moore","william.m@stis.ac.id","5",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"11","Mia Anderson","mia.ander@stis.ac.id","6",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"12","Benjamin Thomas","benjamin.@stis.ac.id","6",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"13","Charlotte Jackson","charlotte@stis.ac.id","7",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"14","Lucas White","lucas.whi@stis.ac.id","7",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"15","Amelia Harris","amelia.ha@stis.ac.id","8",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"16","Henry Martin","henry.mar@stis.ac.id","8",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"17","Harper Thompson","harper.th@stis.ac.id","9",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"18","Oliver Garcia","oliver.ga@stis.ac.id","9",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"19","Evelyn Martinez","evelyn.ma@stis.ac.id","10",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"20","Alexander Robinson","alexander@stis.ac.id","10",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"21","Abigail Lewis","abigail.l@stis.ac.id","11",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"22","Michael Lee","michael.l@stis.ac.id","11",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"23","Elizabeth Walker","elizabeth@stis.ac.id","12",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"24","Daniel Hall","daniel.ha@stis.ac.id","12",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"25","Emily Young","emily.you@stis.ac.id","13",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"26","Matthew Allen","matthew.a@stis.ac.id","13",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"27","Sofia King","sofia.kin@stis.ac.id","14",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"28","Jackson Scott","jackson.s@stis.ac.id","14",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"29","Victoria Wright","victoria.@stis.ac.id","15",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"30","David Nguyen","david.ngu@stis.ac.id","15",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"31","Lily Hill","lily.hill@stis.ac.id","16",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
"32","Sebastian Green","sebastian@stis.ac.id","16",,"$2y$10$DedgP2WL.91HvRI2mrFkyuxDL06bdUp9rDJw.U7TVA/47K.YbhFfC"
